administrativeCollectivity,municipalAssociations
administrativeDistrict,administrativeDistrict
archipelago,archipelago
architect,architect
arrondissement,arrondissement
associationOfLocalGovernment,municipalAssociations
border,sharesBorderWith
builder,builder
canton,canton
capital,capitalCity
ceremonialCounty,ceremonialCounty
chain,chain
chef,chef
city,city
country,country
county,county
crosses,crosses
department,department
designer,designer
developer,developer
director,director
discoverer,discoverer
district,district
engineer,engineer
federalState,federalState
firstAscentPerson,firstAscentPerson
founder,founder
frazioni,frazioni
governingBody,governingBody
hasJunctionWith,hasJunctionWith
headChef,headChef
highestMountain,highestMountain
highestPlace,highestPlace
inflow,lakeInflow
intercommunality,intercommunality
island,island
isPartOf,isPartOf
lake,lake
largestCity,largestCity
largestSettlement,largestSettlement
leader,leader
leaderName,leader
leaderParty,leaderParty
leftTributary,leftTributary
lieutenancyArea,lieutenancyArea
locatedInArea,locatedInArea
location,locatedAt
locationCountry,country
lowestMountain,lowestMountain
lowestPlace,lowestPlace
maintainedBy,maintainedBy
majorIsland,majorIsland
management,managedBy
mayor,mayor
metropolitanBorough,metropolitanBorough
mountainRange,mountainRange
mouthCountry,mouthCountry
mouthPlace,mouthPlace
mouthRegion,mouthRegion
municipality,municipality
nearestCity,nearestCity
neighboringMunicipality,neighboringMunicipality
operator,operator
outflow,lakeOutflow
owner,owner
owningOrganisation,owner
parentMountainPeak,parentMountainPeak
party,leaderParty
principalArea,principalArea
principalEngineer,principalEngineer
province,province
region,region
rightTributary,rightTributary
river,river
riverMouth,riverMouth
routeEnd,routeEnd
routeJunction,routeJunction
routeStart,routeStart
saint,saint
servingRailwayLine,trainOperator
source,source
sourceCountry,sourceCountry
sourceMountain,sourceMountain
sourcePlace,sourcePlace
sourceRegion,sourceRegion
state,state
subregion,subregion
tenant,tenant
territory,territory
twinCountry,twinCountry
twinTown,twinTown
