per,per-loc,beatifiedPlace
per,per-loc,birthPlace
per,per-loc,canonizedPlace
per,per-loc,country,citizenship
per,per-loc,country,country
per,per-loc,country,formerCountry
per,per-loc,country,homeCountry
per,per-loc,country,nationality
per,per-loc,country,sportCountry
per,per-loc,deathPlace
per,per-loc,disappearedPlace
per,per-loc,district
per,per-loc,imprisonedAt
per,per-loc,location
per,per-loc,monuments
per,per-loc,origin,hometown
per,per-loc,origin,origin
per,per-loc,placeOfBurial
per,per-loc,region
per,per-loc,religiousInstitution,church
per,per-loc,religiousInstitution,temple
per,per-loc,residence
per,per-loc,restaurant
per,per-loc,restingPlace
per,per-loc,significantBuilding
per,per-loc,state
per,per-loc,trainingLocation,currentTrainingLocation
per,per-loc,trainingLocation,formerTrainingLocation
per,per-loc,trainingLocation,gym
per,per-loc,trainingLocation,trainingLocation
per,per-org,agency
per,per-org,agent
per,per-org,allegiance
per,per-org,almaMater
per,per-org,associatedWith,institution
per,per-org,boardMemberOf
per,per-org,club,club
per,per-org,club,coachedClub
per,per-org,club,currentClub
per,per-org,club,managerOfClub
per,per-org,club,youthClub
per,per-org,educatedAt,college
per,per-org,educatedAt,educatedAt
per,per-org,educatedAt,highSchool
per,per-org,educatedAt,university
per,per-org,employer
per,per-org,family,family
per,per-org,family,house
per,per-org,founderOf
per,per-org,influenced
per,per-org,influencedBy
per,per-org,league
per,per-org,legislature,assembly
per,per-org,legislature,memberOfParliament
per,per-org,legislature,stateAssembly
per,per-org,legislature,stateDelegate
per,per-org,legislature,stateHouse
per,per-org,legislature,stateLegislature
per,per-org,member,currentMemberOf
per,per-org,member,pastMemberOf
per,per-org,organisation
per,per-org,politicalParty
per,per-org,practiceAt
per,per-org,religion
per,per-org,team,amateurTeam
per,per-org,team,coachedTeam
per,per-org,team,collegeTeam
per,per-org,team,currentTeam
per,per-org,team,debutTeam
per,per-org,team,draftTeam
per,per-org,team,formerTeam
per,per-org,team,manageTeam
per,per-org,team,nationalTeam
per,per-org,team,olympicTeam
per,per-org,team,prospectTeam
per,per-org,team,proTeam
per,per-org,team,team
per,per-org,team,universityTeam
per,per-org,team,worldsTeam
per,per-org,wantedBy
per,per-per,advisor,doctoralAdvisor
per,per-per,agent
per,per-per,alongside
per,per-per,appointedBy
per,per-per,beatifiedBy
per,per-per,canonizedBy
per,per-per,choreographer,choreographer
per,per-per,choreographer,formerChoreographer
per,per-per,coach,assistCoach
per,per-per,coach,coach
per,per-per,coach,formerCoach
per,per-per,coach,headCoach
per,per-per,consecratedBy
per,per-per,createdCardinalBy
per,per-per,employer
per,per-per,influenced
per,per-per,influencedBy
per,per-per,nominatedBy
per,per-per,officeholder,inOfficeChancellor
per,per-per,officeholder,deputy
per,per-per,officeholder,inOfficeGovernor
per,per-per,officeholder,inOfficeGovernorGeneral
per,per-per,officeholder,inOfficeLieutenant
per,per-per,officeholder,inOfficeMonarch
per,per-per,officeholder,inOfficePresident
per,per-per,officeholder,inOfficePrimeMinister
per,per-per,officeholder,inOfficeVicePresident
per,per-per,officeholder,inOfficeVicePrimeMinister
per,per-per,opponent
per,per-per,ordinatedBy
per,per-per,partner,domesticPartner
per,per-per,partner,formerPartner
per,per-per,partner,lifePartner
per,per-per,partner,partner
per,per-per,patrons
per,per-per,predecessor
per,per-per,realtive,child
per,per-per,realtive,parents,father
per,per-per,realtive,parents,mother
per,per-per,realtive,parents,parents
per,per-per,realtive,relative
per,per-per,realtive,spouse
per,per-per,student,notableStudent
per,per-per,student,student
per,per-per,successor
per,per-per,teacher,guru
per,per-per,teacher,teacher
per,per-per,trainer
per,per-per,victim
